task_number;filename;sender;recipient;policies;verdict;violation_level;tags
3;report.jpg;Tenders;External;Политика 3;Allowed;Low;No
4;nepravilno.rtf;Sales;External;No;Allowed;No;No
4;Wordlskilz.rtf;Sales;External;Политика 4;Allowed;Medium;Политика 4
5;dogovor.doc;IT;External;Политика 5.1;Allowed;Low;Политика 5
5;dogovor_direktor.doc;IT;External;Политика 5.1,Политика 5.2;Allowed;Medium;Политика 5
5;dogovor_pechat.pdf;IT;External;Политика 5.1,Политика 5.2,Политика 5.3;Forbidden;High;Политика 5
6;anketa.docx;Sales;External;No;Allowed;No;No
6;anketa_pechat.pdf;Sales;External;Политика 6;Forbidden;Medium;Политика 6
7;promoall.docx;Security;External;Политика 4,Политика 7;Forbidden;Medium;Политика 4,Политика 7
7;promotwo.docx;Security;External;Политика 4,Политика 7;Forbidden;Medium;Политика 4,Политика 7
7;promoall.docx;Sales;External;No;Allowed;No;No
7;promotwo.docx;Sales;External;No;Allowed;No;No
8;catoo.jpg;IT;External;Политика 8;Forbidden;Low;Политика 8
8;catoo_reduced.jpg;IT;External;No;Allowed;No;No
8;catoo.jpg;IT;Security;Политика 8;Forbidden;Low;Политика 8
8;catoo_reduced.jpg;IT;Security;No;Allowed;No;No
9;evil_routes.rtf;Sales;IT;Политика 9;Allowed;Medium;Политика 9
9;routes.rtf;Sales;IT;Политика 9;Allowed;Medium;Политика 9
9;evil_routes.rtf;Accounting;Sales;No;Allowed;No;No
9;routes.rtf;Accounting;Sales;No;Allowed;No;No
